Location,MSAS,Year,Day,Ratio,Moon,Moon_fraction,Moon_altitude,Cloud_time,Clouds_total,Clouds_low,Clouds_mid,Clouds_high,Lightpolution,Temperature,Month
Delft,18.748,2023,18,121.4,No,3,0,2023-05-17 23:00:00,31,1,0,100,Yes,8.94,5
Delft,18.7,2023,18,121.4,No,3,0,2023-05-18 00:00:00,31,1,0,100,Yes,8.3,5
Delft,18.514,2023,18,121.4,No,3,0,2023-05-18 01:00:00,30,0,0,100,Yes,8.0,5
Delft,17.9,2023,18,121.4,No,3,0,2023-05-18 02:00:00,30,0,0,100,Yes,7.64,5
Delft,18.26,2023,18,121.4,No,3,0,2023-05-18 03:00:00,30,0,0,100,Yes,7.4,5
Delft,18.52,2023,19,121.4,No,1,0,2023-05-18 23:00:00,21,0,4,62,Yes,11.6,5
Delft,18.564,2023,19,121.4,No,1,0,2023-05-19 00:00:00,11,0,12,12,Yes,10.66,5
Delft,18.634,2023,19,121.4,No,1,0,2023-05-19 01:00:00,24,0,38,5,Yes,9.98,5
Delft,18.592,2023,19,121.4,No,1,0,2023-05-19 02:00:00,1,0,2,0,Yes,9.54,5
Delft,18.306,2023,19,121.4,No,1,0,2023-05-19 03:00:00,1,0,0,3,Yes,9.0,5
Delft,18.422,2023,20,121.4,No,0,0,2023-05-19 23:00:00,42,10,22,65,Yes,14.1,5
Delft,18.49,2023,20,121.4,No,0,0,2023-05-20 00:00:00,67,10,85,22,Yes,13.74,5
Delft,18.54,2023,20,121.4,No,0,0,2023-05-20 01:00:00,28,0,15,63,Yes,13.2,5
Delft,18.41,2023,20,121.4,No,0,0,2023-05-20 02:00:00,49,0,42,79,Yes,12.8,5
Delft,18.056,2023,20,121.4,No,0,0,2023-05-20 03:00:00,62,4,98,0,Yes,12.2,5
Delft,18.518,2023,21,121.4,No,2,0,2023-05-20 23:00:00,1,1,0,0,Yes,15.1,5
Delft,18.574,2023,21,121.4,No,2,0,2023-05-21 00:00:00,10,9,3,0,Yes,14.5,5
Delft,18.572,2023,21,121.4,No,2,0,2023-05-21 01:00:00,24,27,0,0,Yes,13.8,5
Delft,18.252,2023,21,121.4,No,2,0,2023-05-21 02:00:00,22,25,0,0,Yes,13.56,5
Delft,16.292,2023,21,121.4,No,2,0,2023-05-21 03:00:00,42,46,0,1,Yes,13.74,5
Delft,18.166,2023,22,121.4,Yes,6,1,2023-05-21 23:00:00,5,6,0,0,Yes,13.2,5
Delft,18.252,2023,22,121.4,No,6,0,2023-05-22 00:00:00,18,20,0,0,Yes,12.96,5
Delft,18.258,2023,22,121.4,No,6,0,2023-05-22 01:00:00,65,68,6,0,Yes,13.2,5
Delft,17.992,2023,22,121.4,No,6,0,2023-05-22 02:00:00,91,100,1,1,Yes,12.88,5
Delft,17.634,2023,22,121.4,No,6,0,2023-05-22 03:00:00,93,73,44,4,Yes,13.2,5
Delft,15.58,2023,23,121.4,Yes,11,8,2023-05-22 23:00:00,90,100,0,0,Yes,14.18,5
Delft,15.498,2023,23,121.4,Yes,11,1,2023-05-23 00:00:00,90,100,0,0,Yes,13.74,5
Delft,15.306,2023,23,121.4,No,11,0,2023-05-23 01:00:00,90,100,0,0,Yes,12.96,5
Delft,15.586,2023,23,121.4,No,11,0,2023-05-23 02:00:00,90,100,0,0,Yes,13.2,5
Delft,16.352,2023,23,121.4,No,11,0,2023-05-23 03:00:00,90,100,0,0,Yes,13.5,5
Delft,18.6,2023,24,121.4,Yes,18,13,2023-05-23 23:00:00,3,3,0,0,Yes,10.14,5
Delft,18.742,2023,24,121.4,Yes,18,6,2023-05-24 00:00:00,0,0,0,0,Yes,9.78,5
Delft,18.82,2023,24,121.4,No,18,0,2023-05-24 01:00:00,2,2,0,0,Yes,9.0,5
Delft,18.748,2023,24,121.4,No,18,0,2023-05-24 02:00:00,12,0,0,39,Yes,8.88,5
Delft,18.102,2023,24,121.4,No,18,0,2023-05-24 03:00:00,15,11,0,17,Yes,9.3,5
Delft,18.654,2023,25,121.4,Yes,26,19,2023-05-24 23:00:00,40,18,17,46,Yes,12.2,5
Delft,18.136,2023,25,121.4,Yes,26,10,2023-05-25 00:00:00,100,38,100,85,Yes,12.08,5
Delft,18.78,2023,25,121.4,Yes,26,2,2023-05-25 01:00:00,100,98,96,73,Yes,11.9,5
Delft,18.644,2023,25,121.4,No,26,0,2023-05-25 02:00:00,0,0,0,0,Yes,11.44,5
Delft,16.787,2023,25,121.4,No,26,0,2023-05-25 03:00:00,8,4,7,0,Yes,11.66,5
Delft,18.556,2023,26,121.4,Yes,35,23,2023-05-25 23:00:00,2,2,0,0,Yes,11.2,5
Delft,18.668,2023,26,121.4,Yes,35,14,2023-05-26 00:00:00,7,8,0,0,Yes,10.66,5
Delft,18.706,2023,26,121.4,Yes,35,5,2023-05-26 01:00:00,3,3,0,0,Yes,9.9,5
Delft,18.63,2023,26,121.4,No,35,0,2023-05-26 02:00:00,1,1,0,0,Yes,9.24,5
Delft,17.924,2023,26,121.4,No,35,0,2023-05-26 03:00:00,4,5,0,0,Yes,9.0,5
Delft,18.382,2023,27,121.4,Yes,44,26,2023-05-26 23:00:00,0,0,0,0,Yes,11.44,5
Delft,18.52,2023,27,121.4,Yes,44,17,2023-05-27 00:00:00,0,0,0,0,Yes,11.02,5
Delft,18.584,2023,27,121.4,Yes,44,8,2023-05-27 01:00:00,0,0,0,0,Yes,10.3,5
Delft,18.526,2023,27,121.4,No,44,0,2023-05-27 02:00:00,0,0,0,0,Yes,9.6,5
Delft,17.796,2023,27,121.4,No,44,0,2023-05-27 03:00:00,0,0,0,0,Yes,9.0,5
Delft,18.346,2023,28,121.4,Yes,53,29,2023-05-27 23:00:00,0,0,0,0,Yes,15.1,5
Delft,18.42,2023,28,121.4,Yes,53,20,2023-05-28 00:00:00,3,0,0,11,Yes,14.42,5
Delft,18.342,2023,28,121.4,Yes,53,11,2023-05-28 01:00:00,11,0,18,0,Yes,13.5,5
Delft,18.098,2023,28,121.4,Yes,53,1,2023-05-28 02:00:00,0,0,0,0,Yes,13.2,5
Delft,17.706,2023,28,121.4,No,53,0,2023-05-28 03:00:00,4,0,1,12,Yes,12.8,5
Delft,18.298,2023,29,121.4,Yes,63,30,2023-05-28 23:00:00,10,0,0,33,Yes,13.2,5
Delft,18.486,2023,29,121.4,Yes,63,21,2023-05-29 00:00:00,6,0,0,21,Yes,12.5,5
Delft,18.578,2023,29,121.4,Yes,63,12,2023-05-29 01:00:00,1,1,0,0,Yes,11.9,5
Delft,18.542,2023,29,121.4,Yes,63,3,2023-05-29 02:00:00,0,0,0,0,Yes,11.2,5
Delft,18.306,2023,30,121.4,Yes,72,29,2023-05-29 23:00:00,5,0,0,18,Yes,11.52,5
Delft,18.26,2023,30,121.4,Yes,72,22,2023-05-30 00:00:00,1,1,0,0,Yes,10.9,5
Delft,18.388,2023,30,121.4,Yes,72,14,2023-05-30 01:00:00,2,0,0,5,Yes,10.6,5
Delft,18.458,2023,30,121.4,Yes,72,5,2023-05-30 02:00:00,7,8,0,0,Yes,10.6,5
Delft,17.26,2023,31,121.4,Yes,81,28,2023-05-30 23:00:00,100,100,0,83,Yes,13.2,5
Delft,18.422,2023,31,121.4,Yes,81,22,2023-05-31 00:00:00,56,30,0,98,Yes,12.5,5
Delft,18.278,2023,31,121.4,Yes,81,15,2023-05-31 01:00:00,13,7,0,23,Yes,12.14,5
Delft,18.544,2023,31,121.4,Yes,81,6,2023-05-31 02:00:00,30,0,0,100,Yes,11.72,5
Delft,16.861,2023,1,121.4,Yes,88,25,2023-05-31 23:00:00,0,0,0,0,Yes,12.2,6
Delft,18.198,2023,1,121.4,Yes,88,21,2023-06-01 00:00:00,0,0,0,0,Yes,12.02,6
Delft,17.548,2023,1,121.4,Yes,88,15,2023-06-01 01:00:00,0,0,0,0,Yes,11.9,6
Delft,16.507,2023,1,121.4,Yes,88,7,2023-06-01 02:00:00,3,3,0,0,Yes,11.9,6
Delft,15.91,2023,2,121.4,Yes,94,21,2023-06-01 23:00:00,78,87,0,0,Yes,12.2,6
Delft,16.192,2023,2,121.4,Yes,94,19,2023-06-02 00:00:00,87,97,0,0,Yes,11.9,6
Delft,15.882,2023,2,121.4,Yes,94,14,2023-06-02 01:00:00,77,86,0,0,Yes,11.9,6
Delft,16.1,2023,2,121.4,Yes,94,8,2023-06-02 02:00:00,90,100,0,0,Yes,11.72,6
Delft,17.95,2023,3,121.4,Yes,98,16,2023-06-02 23:00:00,0,0,0,0,Yes,14.1,6
Delft,18.052,2023,3,121.4,Yes,98,15,2023-06-03 00:00:00,8,7,3,0,Yes,13.5,6
Delft,18.06,2023,3,121.4,Yes,98,13,2023-06-03 01:00:00,6,4,2,3,Yes,13.04,6
Delft,18.14,2023,3,121.4,Yes,98,9,2023-06-03 02:00:00,41,30,0,47,Yes,12.74,6
Delft,17.918,2023,4,121.4,Yes,100,10,2023-06-03 23:00:00,0,0,0,0,Yes,15.4,6
Delft,17.96,2023,4,121.4,Yes,100,12,2023-06-04 00:00:00,0,0,0,0,Yes,14.74,6
Delft,18.008,2023,4,121.4,Yes,100,12,2023-06-04 01:00:00,0,0,0,0,Yes,14.1,6
Delft,18.01,2023,4,121.4,Yes,100,9,2023-06-04 02:00:00,0,0,0,0,Yes,13.8,6
Delft,18.202,2023,5,121.4,Yes,99,4,2023-06-04 23:00:00,0,0,0,0,Yes,13.2,6
Delft,18.216,2023,5,121.4,Yes,99,7,2023-06-05 00:00:00,0,0,0,0,Yes,12.5,6
Delft,18.19,2023,5,121.4,Yes,99,9,2023-06-05 01:00:00,0,0,0,0,Yes,11.9,6
Delft,18.114,2023,5,121.4,Yes,99,9,2023-06-05 02:00:00,0,0,0,0,Yes,11.6,6
