Location,MSAS,Year,Day,Ratio,Moon,Moon_fraction,Moon_altitude,Cloud_time,Clouds_total,Clouds_low,Clouds_mid,Clouds_high,Lightpolution,Temperature,Month
Noordpolderzijl,19.46,2023,1,0.61,Yes,70,41,2022-12-31 18:00:00,100,97,100,100,No,13.2,1
Noordpolderzijl,19.94,2023,1,0.61,Yes,70,46,2022-12-31 19:00:00,100,100,100,100,No,13.56,1
Noordpolderzijl,18.812,2023,1,0.61,Yes,70,47,2022-12-31 20:00:00,100,100,100,100,No,13.8,1
Noordpolderzijl,19.302,2023,1,0.61,Yes,70,45,2022-12-31 21:00:00,100,100,100,100,No,14.1,1
Noordpolderzijl,18.33,2023,1,0.61,Yes,70,40,2022-12-31 22:00:00,100,100,100,100,No,15.4,1
Noordpolderzijl,18.488,2023,1,0.61,Yes,70,34,2022-12-31 23:00:00,100,100,100,100,No,14.5,1
Noordpolderzijl,19.31,2023,1,0.61,Yes,70,26,2023-01-01 00:00:00,100,21,99,100,No,14.8,1
Noordpolderzijl,19.867,2023,1,0.61,Yes,70,17,2023-01-01 01:00:00,100,50,100,97,No,15.1,1
Noordpolderzijl,20.926,2023,1,0.61,Yes,70,9,2023-01-01 02:00:00,98,9,100,100,No,14.8,1
Noordpolderzijl,22.012,2023,1,0.61,Yes,70,1,2023-01-01 03:00:00,100,93,100,96,No,13.5,1
Noordpolderzijl,21.374,2023,1,0.61,No,70,0,2023-01-01 04:00:00,98,9,100,100,No,12.8,1
Noordpolderzijl,20.576,2023,1,0.61,No,70,0,2023-01-01 05:00:00,100,63,100,100,No,12.5,1
Noordpolderzijl,20.302,2023,1,0.61,No,70,0,2023-01-01 06:00:00,100,100,100,100,No,12.8,1
Noordpolderzijl,20.266,2023,1,0.61,No,70,0,2023-01-01 07:00:00,88,12,79,100,No,13.2,1
Noordpolderzijl,17.94,2023,2,0.61,Yes,79,42,2023-01-01 18:00:00,90,0,100,100,No,10.72,1
Noordpolderzijl,17.618,2023,2,0.61,Yes,79,48,2023-01-01 19:00:00,90,0,100,100,No,10.9,1
Noordpolderzijl,17.816,2023,2,0.61,Yes,79,52,2023-01-01 20:00:00,100,11,100,100,No,11.2,1
