Location,MSAS,Year,Day,Ratio,Moon,Moon_fraction,Moon_altitude,Cloud_time,Clouds_total,Clouds_low,Clouds_mid,Clouds_high,Lightpolution,Temperature,Month
Rijswijk,15.527,2023,1,110.1,Yes,70,46,2022-12-31 19:00:00,100,100,100,100,Yes,14.42,1
Rijswijk,15.985,2023,1,110.1,Yes,70,48,2022-12-31 20:00:00,100,100,100,100,Yes,14.5,1
Rijswijk,15.667,2023,1,110.1,Yes,70,47,2022-12-31 21:00:00,100,100,100,100,Yes,14.5,1
Rijswijk,15.208,2023,1,110.1,Yes,70,42,2022-12-31 22:00:00,100,100,92,100,Yes,14.5,1
Rijswijk,15.566,2023,1,110.1,Yes,70,36,2022-12-31 23:00:00,100,100,100,100,Yes,14.5,1
Rijswijk,15.154,2023,1,110.1,Yes,70,28,2023-01-01 00:00:00,100,24,100,100,Yes,14.1,1
Rijswijk,15.684,2023,1,110.1,Yes,70,19,2023-01-01 01:00:00,100,31,100,100,Yes,14.1,1
Rijswijk,15.9,2023,1,110.1,Yes,70,10,2023-01-01 02:00:00,95,15,100,73,Yes,14.1,1
Rijswijk,15.701,2023,1,110.1,Yes,70,2,2023-01-01 03:00:00,100,49,89,99,Yes,14.34,1
Rijswijk,14.768,2023,1,110.1,No,70,0,2023-01-01 04:00:00,100,27,96,100,Yes,14.34,1
Rijswijk,14.956,2023,1,110.1,No,70,0,2023-01-01 05:00:00,76,17,51,100,Yes,13.5,1
Rijswijk,15.001,2023,1,110.1,No,70,0,2023-01-01 06:00:00,98,9,100,100,Yes,12.8,1
Rijswijk,14.698,2023,1,110.1,No,70,0,2023-01-01 07:00:00,93,3,100,100,Yes,12.56,1
Rijswijk,15.632,2023,2,110.1,Yes,79,48,2023-01-01 19:00:00,100,89,100,100,Yes,11.2,1
Rijswijk,15.456,2023,2,110.1,Yes,79,53,2023-01-01 20:00:00,100,100,100,100,Yes,11.02,1
Rijswijk,15.61,2023,2,110.1,Yes,79,54,2023-01-01 21:00:00,100,100,100,100,Yes,10.9,1
Rijswijk,15.934,2023,2,110.1,Yes,79,51,2023-01-01 22:00:00,100,100,100,100,Yes,10.9,1
Rijswijk,15.772,2023,2,110.1,Yes,79,45,2023-01-01 23:00:00,100,91,100,100,Yes,10.9,1
Rijswijk,15.884,2023,2,110.1,Yes,79,38,2023-01-02 00:00:00,100,66,100,100,Yes,10.96,1
Rijswijk,15.619,2023,2,110.1,Yes,79,30,2023-01-02 01:00:00,100,100,100,100,Yes,11.2,1
Rijswijk,15.574,2023,2,110.1,Yes,79,21,2023-01-02 02:00:00,100,100,100,100,Yes,11.28,1
Rijswijk,15.584,2023,2,110.1,Yes,79,12,2023-01-02 03:00:00,100,71,100,100,Yes,11.2,1
Rijswijk,15.754,2023,2,110.1,Yes,79,4,2023-01-02 04:00:00,100,80,100,100,Yes,11.2,1
Rijswijk,15.762,2023,2,110.1,No,79,0,2023-01-02 05:00:00,100,100,100,100,Yes,11.66,1
Rijswijk,15.228,2023,2,110.1,No,79,0,2023-01-02 06:00:00,100,15,100,100,Yes,9.6,1
Rijswijk,15.473,2023,2,110.1,No,79,0,2023-01-02 07:00:00,100,11,100,100,Yes,9.24,1
Rijswijk,17.702,2023,3,110.1,Yes,86,47,2023-01-02 19:00:00,13,11,5,0,Yes,7.08,1
Rijswijk,16.183,2023,3,110.1,Yes,86,54,2023-01-02 20:00:00,8,7,2,0,Yes,7.4,1
Rijswijk,16.32,2023,3,110.1,Yes,86,58,2023-01-02 21:00:00,2,2,0,0,Yes,6.7,1
Rijswijk,16.886,2023,3,110.1,Yes,86,58,2023-01-02 22:00:00,0,0,0,0,Yes,7.0,1
Rijswijk,17.47,2023,3,110.1,Yes,86,54,2023-01-02 23:00:00,0,0,0,0,Yes,6.82,1
Rijswijk,17.509,2023,3,110.1,Yes,86,48,2023-01-03 00:00:00,1,1,0,0,Yes,6.7,1
Rijswijk,18.04,2023,3,110.1,Yes,86,40,2023-01-03 01:00:00,51,38,15,25,Yes,6.4,1
Rijswijk,17.346,2023,3,110.1,Yes,86,31,2023-01-03 02:00:00,25,2,38,0,Yes,5.72,1
Rijswijk,18.32,2023,3,110.1,Yes,86,22,2023-01-03 03:00:00,1,1,0,0,Yes,5.22,1
Rijswijk,18.382,2023,3,110.1,Yes,86,14,2023-01-03 04:00:00,7,8,0,0,Yes,4.98,1
Rijswijk,18.44,2023,3,110.1,Yes,86,5,2023-01-03 05:00:00,0,0,0,0,Yes,4.56,1
Rijswijk,18.448,2023,3,110.1,No,86,0,2023-01-03 06:00:00,21,15,13,0,Yes,4.5,1
Rijswijk,15.702,2023,3,110.1,No,86,0,2023-01-03 07:00:00,100,100,56,0,Yes,4.86,1
Rijswijk,15.764,2023,4,110.1,Yes,92,43,2023-01-03 19:00:00,100,80,100,68,Yes,9.0,1
Rijswijk,15.988,2023,4,110.1,Yes,92,51,2023-01-03 20:00:00,100,19,100,95,Yes,8.82,1
Rijswijk,15.836,2023,4,110.1,Yes,92,58,2023-01-03 21:00:00,100,21,100,100,Yes,9.06,1
Rijswijk,15.933,2023,4,110.1,Yes,92,61,2023-01-03 22:00:00,100,12,100,100,Yes,9.42,1
Rijswijk,15.776,2023,4,110.1,Yes,92,61,2023-01-03 23:00:00,100,100,100,100,Yes,9.48,1
Rijswijk,15.804,2023,4,110.1,Yes,92,56,2023-01-04 00:00:00,100,100,100,100,Yes,9.0,1
Rijswijk,15.57,2023,4,110.1,Yes,92,49,2023-01-04 01:00:00,100,100,100,100,Yes,9.3,1
Rijswijk,15.781,2023,4,110.1,Yes,92,41,2023-01-04 02:00:00,100,100,100,100,Yes,9.36,1
Rijswijk,15.832,2023,4,110.1,Yes,92,32,2023-01-04 03:00:00,100,100,42,100,Yes,10.3,1
Rijswijk,15.89,2023,4,110.1,Yes,92,23,2023-01-04 04:00:00,100,100,5,100,Yes,10.66,1
Rijswijk,15.924,2023,4,110.1,Yes,92,15,2023-01-04 05:00:00,100,100,6,100,Yes,10.9,1
Rijswijk,14.95,2023,4,110.1,Yes,92,7,2023-01-04 06:00:00,100,100,42,100,Yes,11.2,1
Rijswijk,15.378,2023,4,110.1,No,92,0,2023-01-04 07:00:00,100,100,93,100,Yes,11.36,1
Rijswijk,15.721,2023,5,110.1,Yes,96,38,2023-01-04 19:00:00,36,23,8,36,Yes,12.2,1
Rijswijk,15.46,2023,5,110.1,Yes,96,47,2023-01-04 20:00:00,94,100,2,10,Yes,11.9,1
Rijswijk,15.727,2023,5,110.1,Yes,96,55,2023-01-04 21:00:00,68,54,3,57,Yes,11.96,1
Rijswijk,15.556,2023,5,110.1,Yes,96,61,2023-01-04 22:00:00,90,60,43,34,Yes,12.2,1
Rijswijk,15.185,2023,5,110.1,Yes,96,64,2023-01-04 23:00:00,100,32,100,45,Yes,11.6,1
Rijswijk,15.745,2023,5,110.1,Yes,96,62,2023-01-05 00:00:00,78,15,68,78,Yes,11.6,1
