Location,MSAS,Year,Day,Ratio,Moon,Moon_fraction,Moon_altitude,Cloud_time,Clouds_total,Clouds_low,Clouds_mid,Clouds_high,Lightpolution,Temperature,Month
Ameland-Natuurcentrum-Nes,18.671,2023,1,0.25,Yes,70,42,2022-12-31 18:00:00,100,59,100,100,No,11.2,1
Ameland-Natuurcentrum-Nes,19.259,2023,1,0.25,Yes,70,46,2022-12-31 19:00:00,100,38,100,100,No,11.2,1
Ameland-Natuurcentrum-Nes,19.231,2023,1,0.25,Yes,70,47,2022-12-31 20:00:00,100,100,100,100,No,11.9,1
Ameland-Natuurcentrum-Nes,19.222,2023,1,0.25,Yes,70,45,2022-12-31 21:00:00,100,100,100,100,No,12.68,1
Ameland-Natuurcentrum-Nes,19.084,2023,1,0.25,Yes,70,41,2022-12-31 22:00:00,100,24,100,100,No,12.8,1
Ameland-Natuurcentrum-Nes,19.266,2023,1,0.25,Yes,70,34,2022-12-31 23:00:00,100,100,100,99,No,12.5,1
Ameland-Natuurcentrum-Nes,19.613,2023,1,0.25,Yes,70,26,2023-01-01 00:00:00,100,15,100,100,No,13.5,1
Ameland-Natuurcentrum-Nes,19.777,2023,1,0.25,Yes,70,17,2023-01-01 01:00:00,100,40,100,100,No,13.8,1
Ameland-Natuurcentrum-Nes,20.512,2023,1,0.25,Yes,70,9,2023-01-01 02:00:00,100,64,100,100,No,12.8,1
Ameland-Natuurcentrum-Nes,21.28,2023,1,0.25,Yes,70,1,2023-01-01 03:00:00,100,29,100,85,No,11.6,1
Ameland-Natuurcentrum-Nes,21.032,2023,1,0.25,No,70,0,2023-01-01 04:00:00,100,100,100,100,No,11.6,1
Ameland-Natuurcentrum-Nes,21.466,2023,1,0.25,No,70,0,2023-01-01 05:00:00,100,100,100,100,No,10.9,1
Ameland-Natuurcentrum-Nes,21.042,2023,1,0.25,No,70,0,2023-01-01 06:00:00,100,36,99,100,No,11.2,1
Ameland-Natuurcentrum-Nes,21.398,2023,1,0.25,No,70,0,2023-01-01 07:00:00,100,13,100,100,No,11.28,1
Ameland-Natuurcentrum-Nes,19.008,2023,2,0.25,Yes,79,42,2023-01-01 18:00:00,90,0,100,100,No,10.9,1
Ameland-Natuurcentrum-Nes,18.922,2023,2,0.25,Yes,79,48,2023-01-01 19:00:00,91,1,100,100,No,10.6,1
