Location,MSAS,Year,Day,Ratio,Moon,Moon_fraction_perc,Moon_altitude_deg,Cloud_time,Clouds_total,Clouds_low,Clouds_mid,Clouds_high,Lightpolution,Temperature,Month,Moon_fraction,Moon_altitude
Borkum-Ostland,21.32,2023,18,0.36,No,21,0,2023-01-17 19:00:00,22,12,18,0,No,1.2,1,0 till 25 %,0 deg.
Borkum-Ostland,21.022,2023,18,0.36,No,21,0,2023-01-17 20:00:00,38,7,53,0,No,1.2,1,0 till 25 %,0 deg.
Borkum-Ostland,20.576,2023,18,0.36,No,21,0,2023-01-17 21:00:00,18,7,19,0,No,0.9,1,0 till 25 %,0 deg.
Borkum-Ostland,21.054,2023,18,0.36,No,21,0,2023-01-17 22:00:00,51,23,51,0,No,1.2,1,0 till 25 %,0 deg.
Borkum-Ostland,20.636,2023,18,0.36,No,21,0,2023-01-17 23:00:00,22,10,21,0,No,0.9,1,0 till 25 %,0 deg.
Borkum-Ostland,21.142,2023,18,0.36,No,21,0,2023-01-18 00:00:00,14,5,15,0,No,0.6,1,0 till 25 %,0 deg.
Borkum-Ostland,21.538,2023,18,0.36,No,21,0,2023-01-18 01:00:00,40,41,4,4,No,0.3,1,0 till 25 %,0 deg.
Borkum-Ostland,21.873,2023,18,0.36,No,21,0,2023-01-18 02:00:00,23,22,5,0,No,0.3,1,0 till 25 %,0 deg.
Borkum-Ostland,21.63,2023,18,0.36,No,21,0,2023-01-18 03:00:00,7,7,1,0,No,0.3,1,0 till 25 %,0 deg.
Borkum-Ostland,21.64,2023,18,0.36,No,21,0,2023-01-18 04:00:00,19,13,12,0,No,-1.0,1,0 till 25 %,0 deg.
Borkum-Ostland,21.62,2023,18,0.36,No,21,0,2023-01-18 05:00:00,7,7,1,0,No,-0.7,1,0 till 25 %,0 deg.
Borkum-Ostland,21.222,2023,19,0.36,No,12,0,2023-01-18 19:00:00,100,83,21,98,No,2.02,1,0 till 25 %,0 deg.
Borkum-Ostland,21.244,2023,19,0.36,No,12,0,2023-01-18 20:00:00,22,15,0,27,No,1.9,1,0 till 25 %,0 deg.
