Location,MSAS,Year,Day,Ratio,Moon,Moon_fraction,Moon_altitude,Cloud_time,Clouds_total,Clouds_low,Clouds_mid,Clouds_high,Lightpolution,Temperature,Month
Borkum-Ostland,21.22,2023,1,0.36,No,70,0,2023-01-01 04:00:00,100,58,100,100,No,10.22,1
Borkum-Ostland,20.846,2023,1,0.36,No,70,0,2023-01-01 05:00:00,100,100,100,100,No,9.9,1
Borkum-Ostland,20.824,2023,1,0.36,No,70,0,2023-01-01 06:00:00,100,100,97,100,No,9.6,1
Borkum-Ostland,20.866,2023,1,0.36,No,70,0,2023-01-01 07:00:00,73,18,45,100,No,9.6,1
Borkum-Ostland,22.394,2023,2,0.36,No,79,0,2023-01-02 05:00:00,100,95,100,100,No,8.7,1
Borkum-Ostland,21.16,2023,2,0.36,No,79,0,2023-01-02 06:00:00,100,100,100,100,No,9.3,1
Borkum-Ostland,20.768,2023,2,0.36,No,79,0,2023-01-02 07:00:00,100,100,100,100,No,9.3,1
Borkum-Ostland,20.872,2023,3,0.36,No,86,0,2023-01-03 06:00:00,1,1,0,0,No,2.5,1
Borkum-Ostland,20.722,2023,3,0.36,No,86,0,2023-01-03 07:00:00,0,0,0,0,No,2.9,1
Borkum-Ostland,20.96,2023,4,0.36,No,92,0,2023-01-04 07:00:00,100,100,100,100,No,9.0,1
Borkum-Ostland,20.47,2023,10,0.36,No,92,0,2023-01-09 19:00:00,52,15,16,97,No,5.4,1
Borkum-Ostland,20.246,2023,11,0.36,No,86,0,2023-01-10 18:00:00,100,100,100,100,No,5.1,1
Borkum-Ostland,20.765,2023,11,0.36,No,86,0,2023-01-10 19:00:00,100,100,100,100,No,5.1,1
Borkum-Ostland,21.218,2023,11,0.36,No,86,0,2023-01-10 20:00:00,100,100,100,100,No,5.1,1
Borkum-Ostland,20.722,2023,12,0.36,No,79,0,2023-01-11 19:00:00,52,1,40,90,No,6.1,1
Borkum-Ostland,20.906,2023,12,0.36,No,79,0,2023-01-11 20:00:00,100,31,100,100,No,6.7,1
Borkum-Ostland,21.193,2023,12,0.36,No,79,0,2023-01-11 21:00:00,100,100,100,99,No,6.7,1
Borkum-Ostland,20.259,2023,13,0.36,No,70,0,2023-01-12 18:00:00,100,100,100,100,No,9.12,1
Borkum-Ostland,21.001,2023,13,0.36,No,70,0,2023-01-12 19:00:00,100,80,100,100,No,9.18,1
Borkum-Ostland,21.3,2023,13,0.36,No,70,0,2023-01-12 20:00:00,100,68,100,100,No,9.3,1
Borkum-Ostland,21.235,2023,13,0.36,No,70,0,2023-01-12 21:00:00,100,45,98,15,No,9.6,1
Borkum-Ostland,20.735,2023,13,0.36,No,70,0,2023-01-12 22:00:00,43,14,51,0,No,9.3,1
Borkum-Ostland,19.578,2023,14,0.36,No,61,0,2023-01-13 18:00:00,18,16,5,1,No,6.4,1
Borkum-Ostland,20.552,2023,14,0.36,No,61,0,2023-01-13 19:00:00,56,9,80,0,No,6.28,1
Borkum-Ostland,21.346,2023,14,0.36,No,61,0,2023-01-13 20:00:00,75,26,84,5,No,6.1,1
Borkum-Ostland,21.285,2023,14,0.36,No,61,0,2023-01-13 21:00:00,6,7,0,0,No,6.4,1
Borkum-Ostland,21.284,2023,14,0.36,No,61,0,2023-01-13 22:00:00,33,34,2,4,No,6.4,1
Borkum-Ostland,21.208,2023,14,0.36,No,61,0,2023-01-13 23:00:00,28,28,4,3,No,6.22,1
Borkum-Ostland,20.95,2023,15,0.36,No,51,0,2023-01-14 19:00:00,100,100,100,100,No,8.7,1
Borkum-Ostland,20.988,2023,15,0.36,No,51,0,2023-01-14 20:00:00,100,100,100,100,No,7.46,1
Borkum-Ostland,20.882,2023,15,0.36,No,51,0,2023-01-14 21:00:00,100,100,100,100,No,6.22,1
Borkum-Ostland,20.846,2023,15,0.36,No,51,0,2023-01-14 22:00:00,94,4,100,100,No,5.1,1
Borkum-Ostland,21.022,2023,15,0.36,No,51,0,2023-01-14 23:00:00,100,19,95,100,No,5.1,1
Borkum-Ostland,21.026,2023,15,0.36,No,51,0,2023-01-15 00:00:00,100,12,98,100,No,5.1,1
Borkum-Ostland,20.968,2023,15,0.36,No,51,0,2023-01-15 01:00:00,94,12,89,100,No,5.4,1
Borkum-Ostland,21.232,2023,16,0.36,No,41,0,2023-01-15 19:00:00,26,12,14,21,No,5.1,1
Borkum-Ostland,21.39,2023,16,0.36,No,41,0,2023-01-15 20:00:00,8,6,5,0,No,4.42,1
Borkum-Ostland,21.446,2023,16,0.36,No,41,0,2023-01-15 21:00:00,16,12,9,0,No,3.2,1
Borkum-Ostland,21.458,2023,16,0.36,No,41,0,2023-01-15 22:00:00,20,5,26,0,No,3.2,1
Borkum-Ostland,21.56,2023,16,0.36,No,41,0,2023-01-15 23:00:00,80,77,18,0,No,3.8,1
Borkum-Ostland,21.614,2023,16,0.36,No,41,0,2023-01-16 00:00:00,83,79,13,15,No,3.2,1
Borkum-Ostland,21.69,2023,16,0.36,No,41,0,2023-01-16 01:00:00,67,66,0,26,No,3.2,1
Borkum-Ostland,21.618,2023,16,0.36,No,41,0,2023-01-16 02:00:00,100,96,0,80,No,2.9,1
Borkum-Ostland,21.24,2023,17,0.36,No,30,0,2023-01-16 19:00:00,100,100,100,100,No,3.5,1
Borkum-Ostland,21.202,2023,17,0.36,No,30,0,2023-01-16 20:00:00,100,100,100,100,No,3.2,1
Borkum-Ostland,21.378,2023,17,0.36,No,30,0,2023-01-16 21:00:00,100,100,100,100,No,3.2,1
Borkum-Ostland,21.15,2023,17,0.36,No,30,0,2023-01-16 22:00:00,100,100,100,100,No,2.58,1
Borkum-Ostland,21.22,2023,17,0.36,No,30,0,2023-01-16 23:00:00,100,100,100,98,No,2.2,1
Borkum-Ostland,21.414,2023,17,0.36,No,30,0,2023-01-17 00:00:00,100,99,100,90,No,2.9,1
Borkum-Ostland,21.839,2023,17,0.36,No,30,0,2023-01-17 01:00:00,100,100,90,99,No,3.2,1
Borkum-Ostland,21.712,2023,17,0.36,No,30,0,2023-01-17 02:00:00,100,74,99,99,No,3.2,1
Borkum-Ostland,21.714,2023,17,0.36,No,30,0,2023-01-17 03:00:00,100,56,100,96,No,3.2,1
Borkum-Ostland,21.536,2023,17,0.36,No,30,0,2023-01-17 04:00:00,100,20,100,100,No,3.5,1
Borkum-Ostland,21.32,2023,18,0.36,No,21,0,2023-01-17 19:00:00,22,12,18,0,No,1.2,1
Borkum-Ostland,21.022,2023,18,0.36,No,21,0,2023-01-17 20:00:00,38,7,53,0,No,1.2,1
Borkum-Ostland,20.576,2023,18,0.36,No,21,0,2023-01-17 21:00:00,18,7,19,0,No,0.9,1
Borkum-Ostland,21.054,2023,18,0.36,No,21,0,2023-01-17 22:00:00,51,23,51,0,No,1.2,1
Borkum-Ostland,20.636,2023,18,0.36,No,21,0,2023-01-17 23:00:00,22,10,21,0,No,0.9,1
Borkum-Ostland,21.142,2023,18,0.36,No,21,0,2023-01-18 00:00:00,14,5,15,0,No,0.6,1
Borkum-Ostland,21.538,2023,18,0.36,No,21,0,2023-01-18 01:00:00,40,41,4,4,No,0.3,1
Borkum-Ostland,21.873,2023,18,0.36,No,21,0,2023-01-18 02:00:00,23,22,5,0,No,0.3,1
Borkum-Ostland,21.63,2023,18,0.36,No,21,0,2023-01-18 03:00:00,7,7,1,0,No,0.3,1
Borkum-Ostland,21.64,2023,18,0.36,No,21,0,2023-01-18 04:00:00,19,13,12,0,No,-1.0,1
Borkum-Ostland,21.62,2023,18,0.36,No,21,0,2023-01-18 05:00:00,7,7,1,0,No,-0.7,1
Borkum-Ostland,21.222,2023,19,0.36,No,12,0,2023-01-18 19:00:00,100,83,21,98,No,2.02,1
Borkum-Ostland,21.244,2023,19,0.36,No,12,0,2023-01-18 20:00:00,22,15,0,27,No,1.9,1
Borkum-Ostland,21.204,2023,19,0.36,No,12,0,2023-01-18 21:00:00,100,58,95,17,No,2.44,1
Borkum-Ostland,21.073,2023,19,0.36,No,12,0,2023-01-18 22:00:00,100,52,54,99,No,2.26,1
