Location,MSAS,Year,Day,Ratio,Moon,Moon_fraction,Moon_altitude,Cloud_time,Clouds_total,Clouds_low,Clouds_mid,Clouds_high,Lightpolution,Temperature,Month
Borkum-Ostland,19.68,2023,1,0.36,Yes,70,41,2022-12-31 18:00:00,100,100,100,100,No,9.9,1
Borkum-Ostland,19.486,2023,1,0.36,Yes,70,45,2022-12-31 19:00:00,100,100,100,100,No,10.22,1
Borkum-Ostland,19.025,2023,1,0.36,Yes,70,47,2022-12-31 20:00:00,100,100,100,100,No,10.6,1
Borkum-Ostland,18.69,2023,1,0.36,Yes,70,45,2022-12-31 21:00:00,100,100,100,100,No,10.78,1
Borkum-Ostland,18.548,2023,1,0.36,Yes,70,40,2022-12-31 22:00:00,100,100,100,100,No,10.9,1
Borkum-Ostland,18.999,2023,1,0.36,Yes,70,33,2022-12-31 23:00:00,100,100,100,100,No,11.6,1
Borkum-Ostland,18.71,2023,1,0.36,Yes,70,26,2023-01-01 00:00:00,100,39,67,100,No,11.28,1
Borkum-Ostland,19.274,2023,1,0.36,Yes,70,17,2023-01-01 01:00:00,93,5,100,96,No,11.72,1
Borkum-Ostland,20.088,2023,1,0.36,Yes,70,9,2023-01-01 02:00:00,98,9,100,99,No,10.9,1
Borkum-Ostland,21.298,2023,1,0.36,Yes,70,1,2023-01-01 03:00:00,100,84,100,100,No,11.02,1
Borkum-Ostland,21.22,2023,1,0.36,No,70,0,2023-01-01 04:00:00,100,58,100,100,No,10.22,1
Borkum-Ostland,20.846,2023,1,0.36,No,70,0,2023-01-01 05:00:00,100,100,100,100,No,9.9,1
Borkum-Ostland,20.824,2023,1,0.36,No,70,0,2023-01-01 06:00:00,100,100,97,100,No,9.6,1
Borkum-Ostland,20.866,2023,1,0.36,No,70,0,2023-01-01 07:00:00,73,18,45,100,No,9.6,1
Borkum-Ostland,18.04,2023,2,0.36,Yes,79,42,2023-01-01 18:00:00,90,0,100,100,No,8.0,1
Borkum-Ostland,17.784,2023,2,0.36,Yes,79,48,2023-01-01 19:00:00,90,0,100,100,No,7.7,1
Borkum-Ostland,17.88,2023,2,0.36,Yes,79,51,2023-01-01 20:00:00,94,5,99,100,No,7.88,1
Borkum-Ostland,18.368,2023,2,0.36,Yes,79,52,2023-01-01 21:00:00,100,11,100,100,No,8.3,1
Borkum-Ostland,18.69,2023,2,0.36,Yes,79,49,2023-01-01 22:00:00,95,6,100,100,No,8.3,1
Borkum-Ostland,18.236,2023,2,0.36,Yes,79,43,2023-01-01 23:00:00,100,100,100,100,No,8.3,1
Borkum-Ostland,18.389,2023,2,0.36,Yes,79,36,2023-01-02 00:00:00,100,100,100,100,No,8.0,1
Borkum-Ostland,19.318,2023,2,0.36,Yes,79,28,2023-01-02 01:00:00,100,100,100,100,No,7.4,1
Borkum-Ostland,19.514,2023,2,0.36,Yes,79,19,2023-01-02 02:00:00,100,100,100,100,No,7.4,1
Borkum-Ostland,21.16,2023,2,0.36,Yes,79,11,2023-01-02 03:00:00,100,100,100,100,No,7.7,1
Borkum-Ostland,21.3,2023,2,0.36,Yes,79,3,2023-01-02 04:00:00,100,100,100,100,No,7.94,1
Borkum-Ostland,22.394,2023,2,0.36,No,79,0,2023-01-02 05:00:00,100,95,100,100,No,8.7,1
Borkum-Ostland,21.16,2023,2,0.36,No,79,0,2023-01-02 06:00:00,100,100,100,100,No,9.3,1
Borkum-Ostland,20.768,2023,2,0.36,No,79,0,2023-01-02 07:00:00,100,100,100,100,No,9.3,1
Borkum-Ostland,18.486,2023,3,0.36,Yes,86,40,2023-01-02 18:00:00,34,8,44,0,No,5.8,1
Borkum-Ostland,17.948,2023,3,0.36,Yes,86,47,2023-01-02 19:00:00,20,21,1,0,No,4.8,1
Borkum-Ostland,17.351,2023,3,0.36,Yes,86,53,2023-01-02 20:00:00,15,17,0,0,No,4.8,1
Borkum-Ostland,17.398,2023,3,0.36,Yes,86,56,2023-01-02 21:00:00,2,1,1,0,No,4.68,1
Borkum-Ostland,17.332,2023,3,0.36,Yes,86,56,2023-01-02 22:00:00,19,21,0,0,No,4.5,1
Borkum-Ostland,17.662,2023,3,0.36,Yes,86,52,2023-01-02 23:00:00,36,40,0,0,No,5.34,1
Borkum-Ostland,17.752,2023,3,0.36,Yes,86,46,2023-01-03 00:00:00,32,35,0,0,No,5.1,1
Borkum-Ostland,17.588,2023,3,0.36,Yes,86,38,2023-01-03 01:00:00,14,15,0,0,No,4.1,1
Borkum-Ostland,18.107,2023,3,0.36,Yes,86,29,2023-01-03 02:00:00,5,6,0,0,No,4.18,1
Borkum-Ostland,19.558,2023,3,0.36,Yes,86,21,2023-01-03 03:00:00,1,1,0,0,No,3.8,1
Borkum-Ostland,19.768,2023,3,0.36,Yes,86,13,2023-01-03 04:00:00,3,3,0,0,No,3.44,1
